poi_name,poi_category,is_indoor,weekday,weekday_num,is_weekend,hour,crowd_score,raw_score
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,0,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,1,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,2,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,3,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,4,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,5,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,6,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,7,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,8,0.27,27
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,9,0.48,48
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,10,0.68,68
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,11,0.82,82
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,12,0.88,88
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,13,0.9,90
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,14,0.91,91
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,15,0.92,92
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,16,0.92,92
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,17,0.9,90
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,18,0.86,86
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,19,0.8,80
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,20,0.69,69
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,21,0.49,49
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,22,0.0,0
teamLab Planets TOKYO DMM,museum,1,Sunday,6,1,23,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,0,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,1,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,2,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,3,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,4,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,5,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,6,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,7,0.0,0
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,8,0.27,27
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,9,0.48,48
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,10,0.67,67
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,11,0.8,80
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,12,0.85,85
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,13,0.86,86
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,14,0.84,84
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,15,0.8,80
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,16,0.79,79
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,17,0.76,76
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,18,0.72,72
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,19,0.66,66
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,20,0.55,55
teamLab Planets TOKYO DMM,museum,1,Monday,0,0,21,0.41,41
